airbnb_listing_id,occ,adr,rev,n,number_of_reviews,star_rating,number_of_bedrooms,number_of_guests,listing_type,is_professional,picture_count,cleaning_fee,min_nights,suburb,latitude,longitude,rb
15754075,0.9211146266778962,720.7631787169742,70056.24576592249,105,36.0,4.920000076293945,3.0,9.0,apartamento,False,37.0,450.0,0.0,Meia Praia,-27.13747,-48.59243,30+
15791567,0.9294995309509375,632.8216823164707,62035.15989344225,105,22.0,4.090000152587891,3.0,10.0,apartamento,False,26.0,300.0,0.0,Meia Praia,-27.12828,-48.60102,11-30
15909831,0.6780563018779495,803.6016115309509,58470.10995915242,105,32.0,4.940000057220459,3.0,6.0,apartamento,False,26.0,190.0,0.0,Meia Praia,-27.14446,-48.5869,30+
15934309,0.7560595763635635,859.8378494290422,69365.6539803093,105,32.0,4.940000057220459,3.0,8.0,apartamento,False,23.0,320.0,0.0,Meia Praia,-27.13171,-48.59928,30+
15980018,0.987376733210788,502.15542760163066,52101.27218047329,105,103.0,4.900000095367432,2.0,5.0,apartamento,False,26.0,130.0,0.0,Centro,-27.10304,-48.61346,30+
15980108,0.9092281561360545,1660.17399263129,159404.13805022975,105,26.0,4.849999904632568,4.0,10.0,apartamento,False,20.0,180.0,0.0,Meia Praia,-27.11931,-48.60673,11-30
16017693,0.9253598856249613,791.8329308154208,77297.70595121973,105,41.0,4.900000095367432,3.0,7.0,apartamento,True,23.0,350.0,0.0,Meia Praia,-27.12353,-48.60785,30+
16105751,0.9643777353290129,318.96884845104853,32370.13638795101,105,138.0,4.860000133514404,2.0,4.0,apartamento,False,19.0,250.0,0.0,Centro,-27.10033,-48.61512,30+
16177778,0.3197370396630561,767.2027631897458,27116.40606608557,105,9.0,5.0,3.0,8.0,apartamento,False,17.0,300.0,0.0,Meia Praia,-27.12398,-48.6075,3-10
16253828,0.6595722005230807,1682.0154195526557,119211.71427503107,105,24.0,4.960000038146973,3.0,7.0,apartamento,False,22.0,420.0,0.0,Meia Praia,-27.13702,-48.59192,11-30
16270332,0.7795391567770227,811.2189450460118,67364.53992598772,105,43.0,4.809999942779541,4.0,11.0,casa,False,14.0,100.0,0.0,Centro,-27.08918,-48.60961,30+
16321793,0.6531789108429817,552.8390579445282,38820.96764822705,105,31.0,4.96999979019165,3.0,7.0,apartamento,False,25.0,250.0,0.0,Meia Praia,-27.14282,-48.58983,30+
16350860,0.6893206696883207,655.2978758376742,48431.23537762725,105,10.0,4.900000095367432,2.0,5.0,apartamento,False,34.0,230.0,0.0,Meia Praia,-27.11882,-48.6081,3-10
16451544,0.9692948084128133,593.5383864099588,60522.962732499866,105,11.0,5.0,3.0,6.0,apartamento,False,14.0,200.0,0.0,Centro,-27.0979995728,-48.6150016785,11-30
16527828,0.30164818515945996,1098.192157393446,36680.074771861495,105,18.0,4.829999923706055,4.0,8.0,apartamento,False,24.0,350.0,0.0,Meia Praia,-27.12126,-48.60656,11-30
16570256,0.8486760794818183,526.8075175377053,47402.03127531155,105,13.0,4.769999980926514,3.0,10.0,apartamento,False,14.0,250.0,0.0,Meia Praia,-27.13493,-48.59933,11-30
16586622,0.7929502547481149,661.650873138298,55837.42675820406,105,30.0,4.829999923706055,3.0,6.0,apartamento,False,111.0,0.0,0.0,Meia Praia,-27.1383,-48.59238,11-30
16618715,0.4824144140509566,813.6507902005578,42774.86823194096,105,59.0,4.920000076293945,3.0,8.0,apartamento,False,15.0,189.0,0.0,Meia Praia,-27.131,-48.599,30+
16644316,0.574233415392728,809.9756852529758,50308.8252117329,105,12.0,5.0,3.0,8.0,apartamento,False,36.0,300.0,0.0,Meia Praia,-27.13423,-48.5944,11-30
16662563,0.6955236044456868,1736.038431639691,129401.25554276085,105,56.0,4.880000114440918,4.0,11.0,apartamento,True,61.0,350.0,0.0,Meia Praia,-27.134,-48.596,30+
16730935,0.26826565862930796,263.33241405923513,7846.351157669137,105,22.0,5.0,1.0,2.0,outros,False,10.0,70.0,0.0,Meia Praia,-27.13672,-48.60095,11-30
16992951,0.7648315909623111,657.741272453917,53644.34089647386,105,11.0,5.0,3.0,8.0,apartamento,False,17.0,250.0,0.0,Centro,-27.10152,-48.61475,11-30
17013106,0.7063100263334593,1792.9579790884375,135609.43053320594,105,29.0,4.659999847412109,4.0,8.0,apartamento,False,62.0,350.0,0.0,Morretes,-27.10962,-48.61049,11-30
17034886,0.8573989745981949,731.9543656382359,66499.28793440858,105,29.0,4.760000228881836,2.0,16.0,casa,False,16.0,100.0,0.0,Meia Praia,-27.13589,-48.60302,11-30
17294276,0.9472408846083755,999.54286699819,99742.31391429261,105,21.0,4.949999809265137,4.0,9.0,apartamento,False,27.0,300.0,0.0,Meia Praia,-27.13113,-48.59911,11-30
17511306,0.6597223834025332,1014.2040363269342,71896.58708082997,105,33.0,4.849999904632568,4.0,13.0,casa,False,25.0,350.0,0.0,Meia Praia,-27.129,-48.603,30+
17570590,0.7696643082045518,1647.6963368112874,135186.70620218146,105,45.0,4.820000171661377,4.0,10.0,apartamento,True,32.0,420.0,0.0,Meia Praia,-27.13766,-48.59209,30+
18395333,0.7891659313137892,658.3928500552317,55311.811577271896,105,63.0,4.980000019073486,3.0,8.0,apartamento,False,26.0,450.0,0.0,Meia Praia,-27.13346,-48.59545,30+
18505349,0.9700809341161236,756.4501728976978,77193.80536924445,105,23.0,4.829999923706055,3.0,6.0,apartamento,False,27.0,380.0,0.0,Centro,-27.10681,-48.61325,11-30
18506998,0.9862709351491391,438.4893709455921,45447.74088588259,105,29.0,5.0,2.0,4.0,apartamento,False,22.0,180.0,0.0,Centro,-27.09714,-48.61485,11-30
18735821,0.8735482489270449,277.1546602009988,25626.785329419352,105,10.0,4.199999809265137,2.0,8.0,apartamento,False,15.0,250.0,0.0,Meia Praia,-27.13563,-48.59754,3-10
20555680,0.9787132690459168,256.7351984720225,26418.09352577038,105,12.0,4.829999923706055,1.0,4.0,apartamento,False,18.0,150.0,0.0,Centro,-27.1038,-48.61318,11-30
20618105,0.8947398175530679,592.231064755859,56010.49987804212,105,15.0,4.730000019073486,2.0,5.0,apartamento,False,31.0,300.0,0.0,Meia Praia,-27.13683,-48.59712,11-30
20863370,0.9801208993983077,604.4607788254319,62283.12232654093,105,25.0,4.880000114440918,3.0,7.0,apartamento,False,41.0,410.0,0.0,Meia Praia,-27.12149,-48.60639,11-30
20943549,0.810804964525292,440.82126647553446,37992.30585042485,105,27.0,4.960000038146973,2.0,6.0,apartamento,False,24.0,220.0,0.0,Meia Praia,-27.13207,-48.59984,11-30
21025393,0.9562993731459645,726.9098936442164,73188.66517997406,105,23.0,4.909999847412109,3.0,6.0,apartamento,False,22.0,250.0,0.0,Meia Praia,-27.11835,-48.60785,11-30
21077682,0.765921724389169,804.1939275270954,65677.2349516671,105,31.0,4.96999979019165,4.0,10.0,apartamento,False,30.0,300.0,0.0,Meia Praia,-27.13947,-48.59267,30+
21091876,0.3295729381379351,779.8155637754271,28384.5685292709,105,11.0,4.909999847412109,3.0,6.0,apartamento,False,24.0,350.0,0.0,Meia Praia,-27.12244,-48.60431,11-30
21103486,0.7813712499336893,365.9199375222497,30453.929725192706,105,8.0,5.0,3.0,6.0,apartamento,False,29.0,250.0,0.0,Meia Praia,-27.13927,-48.59544,3-10
21103807,0.5093112774466906,988.8964827084933,54763.91390432951,105,38.0,4.96999979019165,5.0,10.0,apartamento,False,26.0,350.0,0.0,Meia Praia,-27.13463,-48.59678,30+
21280090,0.8174773149556828,906.3777364265945,78723.35850317277,105,36.0,5.0,3.0,8.0,apartamento,False,37.0,150.0,0.0,Meia Praia,-27.13978,-48.59218,30+
21295667,0.8849680753693157,713.262048878373,66762.96279151828,105,31.0,4.869999885559082,3.0,9.0,apartamento,False,44.0,320.0,0.0,Meia Praia,-27.13691,-48.59562,30+
21324331,0.9439711543866977,741.722919139966,73774.77679693347,105,195.0,4.900000095367432,2.0,6.0,apartamento,False,42.0,100.0,0.0,Meia Praia,-27.13354,-48.59698,30+
21397811,0.7011267205731664,729.6463432443801,54802.17806945089,105,19.0,4.889999866485596,3.0,8.0,apartamento,False,50.0,350.0,0.0,Meia Praia,-27.12771,-48.60075,11-30
21436592,0.5820273474747147,523.0286088205557,32906.77580102208,105,18.0,4.71999979019165,3.0,9.0,apartamento,False,15.0,350.0,0.0,Meia Praia,-27.1339797974,-48.600189209,11-30
21454457,0.9922233679562655,222.43867739246798,23185.52818817684,105,57.0,4.809999942779541,2.0,5.0,apartamento,False,39.0,320.0,0.0,Meia Praia,-27.13150978088379,-48.604339599609375,30+
21545686,0.7275684949439916,339.5809394878171,26416.327332436325,105,92.0,4.760000228881836,2.0,5.0,apartamento,False,11.0,120.0,0.0,Centro,-27.09595,-48.61447,30+
21552865,0.9524049663409146,666.3185916515669,66831.23879996172,105,49.0,4.960000038146973,2.0,6.0,apartamento,False,36.0,200.0,0.0,Meia Praia,-27.13115,-48.60259,30+
21607605,0.8808401397326387,832.9603128411691,77624.3429000184,105,13.0,4.849999904632568,4.0,11.0,apartamento,False,31.0,300.0,0.0,Meia Praia,-27.12907218933105,-48.60113525390625,11-30
21632405,0.9087751634211989,526.9593540120665,50573.07881311035,105,11.0,4.820000171661377,3.0,8.0,apartamento,False,40.0,250.0,0.0,Meia Praia,-27.13204,-48.6004,11-30
21662762,0.9472408846083755,324.69869078599584,32401.010315043623,105,157.0,4.849999904632568,3.0,9.0,apartamento,False,42.0,280.0,0.0,Meia Praia,-27.126,-48.60681,30+
21695053,0.500214818108402,785.4138814449254,42750.555410972185,105,78.0,4.880000114440918,3.0,8.0,apartamento,False,31.0,450.0,0.0,Meia Praia,-27.131,-48.602,30+
21734892,0.7813712499336893,837.7541243962214,69722.64316644831,105,37.0,4.920000076293945,3.0,8.0,apartamento,False,17.0,250.0,0.0,Centro,-27.09705,-48.61401,30+
21743476,0.7486469293670882,715.1238056699473,57155.567765241845,105,18.0,4.78000020980835,3.0,7.0,apartamento,False,53.0,250.0,0.0,Meia Praia,-27.13982,-48.59497,11-30
21780661,0.6433343904492207,469.60822820987426,32503.57874515403,105,20.0,4.900000095367432,2.0,4.0,apartamento,False,34.0,200.0,0.0,Casa Branca,-27.09167,-48.61828,11-30
22047595,0.833084624759183,736.4978631997818,65120.707448460635,105,37.0,4.889999866485596,3.0,10.0,apartamento,False,20.0,290.0,0.0,Morretes,-27.1144,-48.60876,30+
22190101,0.9211146266778962,310.4999842562372,30179.764796103256,105,38.0,4.889999866485596,2.0,7.0,apartamento,False,12.0,200.0,0.0,Meia Praia,-27.13518,-48.59939,30+
22191680,0.5428667370218159,455.96567153870063,26840.9386586836,105,94.0,4.769999980926514,2.0,6.0,apartamento,False,15.0,250.0,0.0,Meia Praia,-27.13939,-48.5928,30+
22223346,0.954346564112975,639.2671278563207,64240.8477932708,105,21.0,5.0,2.0,6.0,apartamento,False,25.0,200.0,0.0,Meia Praia,-27.13279914855957,-48.59666061401367,11-30
22231120,0.4278604509662592,358.26839068321357,16782.51461552383,105,62.0,4.96999979019165,1.0,4.0,apartamento,False,16.0,100.0,0.0,Ilhota,-27.06739,-48.59644,30+
22243318,0.9211146266778962,556.8372842708643,54123.088956833,105,32.0,4.840000152587891,2.0,6.0,apartamento,False,22.0,250.0,0.0,Meia Praia,-27.12686,-48.60388,30+
22245880,0.7732642649216364,1401.0615389696554,115459.85056828432,105,63.0,4.900000095367432,3.0,8.0,apartamento,True,30.0,250.0,0.0,Meia Praia,-27.14078,-48.59027,30+
22306996,0.9767520572079659,261.82243220913614,26890.862911045646,105,15.0,5.0,2.0,5.0,apartamento,False,29.0,220.0,0.0,Meia Praia,-27.13764381408692,-48.5985221862793,11-30
22307401,0.9573035900778217,466.66860564058004,47032.73240765722,105,57.0,4.880000114440918,2.0,6.0,apartamento,False,29.0,230.0,0.0,Meia Praia,-27.13537,-48.59646,30+
22335276,0.574233415392728,717.9664327296908,44593.990202074034,105,21.0,4.949999809265137,3.0,8.0,casa,False,47.0,0.0,0.0,Canto da Praia,-27.08961,-48.60606,11-30
22383070,0.9205567197618079,335.9277942743714,32632.67211091595,105,36.0,4.940000057220459,2.0,6.0,apartamento,False,11.0,200.0,0.0,Meia Praia,-27.137,-48.599,30+
22421016,0.9930434785544563,747.8747958402217,78013.97909647504,105,7.0,5.0,3.0,8.0,apartamento,False,42.0,300.0,0.0,Centro,-27.097000122070312,-48.61600112915039,3-10
22421421,0.8869894212288661,441.1759902090865,41383.925430955205,105,4.0,4.5,2.0,11.0,casa,False,23.0,100.0,0.0,Morretes,-27.11609,-48.61405,3-10
22421606,0.9071194269598304,444.3980649786324,42576.40263828897,105,27.0,4.849999904632568,2.0,11.0,casa,False,26.0,100.0,0.0,Morretes,-27.11525,-48.61363,11-30
22428497,0.9033946492639624,337.51550523658534,32211.30898825984,105,36.0,4.809999942779541,2.0,4.0,casa,False,27.0,250.0,0.0,Meia Praia,-27.14021,-48.59486,30+
22514231,0.9231021936612489,410.96961505403397,40026.23171417712,105,34.0,4.820000171661377,2.0,6.0,apartamento,False,27.0,250.0,0.0,Centro,-27.10512,-48.61245,30+
22648075,0.6893206696883207,433.37479887449535,32029.520718638454,105,16.0,5.0,2.0,6.0,apartamento,False,35.0,150.0,0.0,Centro,-27.09328,-48.61578,11-30
22739656,0.7224844642335438,1319.8620070260351,101993.27334094519,105,41.0,4.829999923706055,3.0,8.0,apartamento,False,25.0,350.0,0.0,Meia Praia,-27.1299991607666,-48.5989990234375,30+
22810332,0.7813712499336893,518.4140598393113,43145.354291984324,105,31.0,4.769999980926514,1.0,2.0,apartamento,False,14.0,0.0,0.0,Meia Praia,-27.12723,-48.602,30+
22901902,0.26130737364138557,742.6275323853771,21567.709263252298,105,29.0,4.929999828338623,3.0,6.0,apartamento,False,28.0,300.0,0.0,Meia Praia,-27.14200019836425,-48.5890007019043,11-30
23023313,0.7422349574044765,550.2713927049404,43623.14336738154,105,11.0,4.820000171661377,2.0,6.0,apartamento,False,38.0,300.0,0.0,Morretes,-27.11599922180176,-48.60900115966797,11-30
23068512,0.9759298865692322,560.9046131905094,57562.997801529986,105,19.0,4.369999885559082,2.0,6.0,apartamento,False,21.0,250.0,0.0,Meia Praia,-27.128999710083008,-48.60300064086914,11-30
23078040,0.8238644495519035,870.0225479914856,76123.0371032795,105,213.0,4.590000152587891,3.0,7.0,apartamento,False,23.0,190.0,0.0,Meia Praia,-27.12434,-48.60313,30+
23108026,0.4455746363149167,678.3604440650727,33041.945946863685,105,28.0,4.639999866485596,2.0,5.0,apartamento,False,20.0,180.0,0.0,Meia Praia,-27.13234,-48.59925,11-30
23263225,0.9879462253822223,260.78093090507787,27072.048372168127,105,40.0,4.829999923706055,1.0,4.0,casa,False,23.0,200.0,0.0,Centro,-27.09164,-48.6145,30+
23299596,0.9231021936612489,541.068914703401,52697.20426997803,105,214.0,4.920000076293945,2.0,6.0,apartamento,False,43.0,100.0,0.0,Meia Praia,-27.13328,-48.5977,30+
23343001,0.5176037598740509,557.5995552772338,31360.59718787772,105,80.0,4.889999866485596,3.0,8.0,apartamento,False,13.0,250.0,0.0,Meia Praia,-27.12475,-48.60604,30+
23390752,0.38024199162188105,1375.0133082690177,57481.192925824536,105,47.0,4.940000057220459,7.0,13.0,casa,False,20.0,250.0,0.0,Tabuleiro dos Oliveiras,-27.10788,-48.61457,30+
23779860,0.9508551351985984,439.88521074802503,44052.65774978539,105,14.0,4.570000171661377,3.0,12.0,apartamento,False,11.0,200.0,0.0,Meia Praia,-27.1265,-48.60202,11-30
23787711,0.1846492335455825,396.6606335544203,8199.784892218877,105,19.0,5.0,3.0,6.0,apartamento,,29.0,0.0,0.0,Meia Praia,-27.13537,-48.59887,11-30
24171739,0.9767520572079659,523.2437620099349,53740.53000176039,105,23.0,4.829999923706055,3.0,8.0,apartamento,False,30.0,250.0,0.0,Meia Praia,-27.1299991607666,-48.5989990234375,11-30
25104649,0.7512558965011034,700.5920263859754,56178.85141944145,105,43.0,4.980000019073486,4.0,12.0,apartamento,False,18.0,250.0,0.0,Meia Praia,-27.12957,-48.60342,30+
25165914,0.319737039663056,620.9422803923543,21946.90090624178,105,15.0,4.869999885559082,3.0,6.0,apartamento,False,16.0,210.0,0.0,Meia Praia,-27.13756,-48.59238,11-30
25918412,0.6339229057971575,434.15256942407655,29631.14201827621,105,37.0,4.889999866485596,2.0,5.0,apartamento,False,45.0,147.0,0.0,Meia Praia,-27.12254,-48.60642,30+
26026295,0.9643777353290129,479.8752863248607,48699.515777092245,105,150.0,4.829999923706055,2.0,5.0,apartamento,False,22.0,250.0,0.0,Meia Praia,-27.12726,-48.60148,30+
26197944,0.8174773149556828,505.66453764334256,43919.44890016822,105,38.0,4.789999961853027,2.0,6.0,apartamento,False,36.0,210.0,0.0,Meia Praia,-27.13813,-48.59385,30+
26334990,0.8270189212730099,1313.6285276455858,115351.92702978024,105,6.0,5.0,3.0,11.0,apartamento,False,19.0,350.0,0.0,Meia Praia,-27.12738,-48.60367,3-10
26570136,0.6194281960088349,704.389777595776,47027.9322109931,105,22.0,4.860000133514404,3.0,8.0,apartamento,False,15.0,370.0,0.0,Meia Praia,-27.13654,-48.59565,11-30
26708551,0.7515419935617582,557.3132868391842,44705.77241652549,105,361.0,4.829999923706055,3.0,10.0,apartamento,True,19.0,60.0,0.0,Centro,-27.09036,-48.61327,30+
26839303,0.8909301624446296,692.0049073566344,65184.192565917176,105,29.0,4.860000133514404,2.0,8.0,apartamento,False,37.0,200.0,0.0,Meia Praia,-27.13544,-48.59686,11-30
26895628,0.9393946083718756,1021.8298328904519,101171.97648613795,105,99.0,4.800000190734863,4.0,12.0,apartamento,False,87.0,300.0,0.0,Meia Praia,-27.13273,-48.59691,30+
26898492,0.9147403833368627,376.87342694184326,36392.50867542191,105,20.0,4.699999809265137,2.0,10.0,casa,False,60.0,200.0,0.0,Ilhota,-27.06375,-48.59624,11-30
27022969,0.8417660224962294,1564.878612275195,139725.74006694776,105,2.0,5.0,4.0,8.0,apartamento,False,23.0,365.0,0.0,Meia Praia,-27.13995,-48.59131,1-2
27201205,0.961783616902703,741.2645769393831,75036.11450348783,105,56.0,4.880000114440918,3.0,10.0,apartamento,False,37.0,390.0,0.0,Meia Praia,-27.12546,-48.60328,30+
27338096,0.19774129465685064,1351.7490900843068,29887.313589942787,105,12.0,5.0,3.0,8.0,apartamento,False,51.0,350.0,0.0,Centro,-27.097,-48.61414,11-30
27704027,0.43630736806303455,784.2783957816445,37436.288735746864,105,24.0,4.960000038146973,3.0,14.0,apartamento,False,47.0,400.0,0.0,Centro,-27.09789,-48.616,11-30
27718978,0.9862709351491391,650.6417387394628,67436.5198134764,105,11.0,4.820000171661377,4.0,9.0,apartamento,False,25.0,450.0,0.0,Meia Praia,-27.13281,-48.59774,11-30
27910707,0.32736789604103983,1496.5803946906778,54120.56289509696,105,10.0,4.699999809265137,3.0,6.0,apartamento,False,66.0,200.0,0.0,Centro,-27.09154,-48.60982,3-10
27981528,0.855202988900498,502.72732682673904,45563.31377279688,105,138.0,4.929999828338623,3.0,6.0,apartamento,False,49.0,100.0,0.0,Casa Branca,-27.08789,-48.61559,30+
28071688,0.9357879473627331,716.570036154716,70691.84221197186,105,22.0,4.769999980926514,3.0,8.0,apartamento,False,44.0,250.0,0.0,Meia Praia,-27.12683,-48.60571,11-30
28075525,0.9590926908354138,472.09241121846884,47662.92512190411,105,20.0,4.949999809265137,2.0,6.0,apartamento,False,90.0,250.0,0.0,Meia Praia,-27.13625,-48.59592,11-30
28155872,0.9634870079538121,475.2051954867834,48183.72456794926,105,13.0,4.619999885559082,3.0,6.0,apartamento,False,9.0,200.0,0.0,Meia Praia,-27.13771,-48.59637,11-30
28160414,0.8360327917197049,658.5958684716887,58427.104759027185,105,7.0,5.0,3.0,6.0,apartamento,False,21.0,200.0,0.0,Centro,-27.10505,-48.61448,3-10
28366360,0.7011267205731663,772.5914071146369,58027.69007154901,105,43.0,4.880000114440918,3.0,8.0,apartamento,False,22.0,350.0,0.0,Meia Praia,-27.12878,-48.60303,30+
28410850,0.9054366941010413,579.4134913759011,55414.87347796462,105,62.0,4.849999904632568,1.0,2.0,apartamento,False,63.0,0.0,0.0,Centro,-27.09385,-48.61161,30+
28429135,0.7181610400051874,442.9616821383781,34035.983061772065,105,11.0,4.909999847412109,0.0,8.0,apartamento,False,27.0,350.0,0.0,Meia Praia,-27.12125,-48.60759,11-30
28932247,0.8333068153942106,525.8767862690644,46509.41886933658,105,25.0,4.920000076293945,3.0,9.0,casa,False,16.0,250.0,0.0,Meia Praia,-27.14033,-48.59733,11-30
28987242,0.9723230568506284,679.6672703104548,69508.88502956,105,47.0,4.940000057220459,4.0,10.0,apartamento,False,34.0,297.0,0.0,Meia Praia,-27.12571,-48.60316,30+
29008738,0.87652492147347,617.8460471719396,57311.84127046735,105,46.0,5.0,4.0,10.0,apartamento,False,24.0,297.0,0.0,Meia Praia,-27.12544,-48.60338,30+
29114516,0.9562993731459645,428.05157060888564,43098.22077671348,105,33.0,4.909999847412109,3.0,5.0,apartamento,False,21.0,200.0,0.0,Meia Praia,-27.13934,-48.59179,30+
29145061,0.7486469293670882,422.4555322594399,33764.34347509296,105,36.0,4.809999942779541,2.0,6.0,apartamento,False,19.0,250.0,0.0,Meia Praia,-27.12275,-48.60631,30+
29302246,0.7209132956173171,403.4535328073009,31112.890462370564,105,56.0,4.909999847412109,2.0,5.0,apartamento,True,19.0,180.0,0.0,Casa Branca,-27.09008,-48.61904,30+
29341170,0.8874537763304096,409.3092935811027,38413.645097363435,105,81.0,4.880000114440918,2.0,5.0,apartamento,True,46.0,180.0,0.0,Casa Branca,-27.08897,-48.61601,30+
29739100,0.4678167350547023,755.6908744905179,38572.99516081696,105,19.0,5.0,3.0,7.0,apartamento,False,20.0,350.0,0.0,Meia Praia,-27.1362800598,-48.5939407349,11-30
29761442,0.9926400143263878,514.3928777947622,53638.02777591893,105,28.0,4.960000038146973,3.0,7.0,apartamento,False,24.0,200.0,0.0,Meia Praia,-27.13813,-48.59385,11-30
