airbnb_listing_id,occ,rev_window,adr,nights,number_of_bedrooms,number_of_guests,listing_type,number_of_reviews,star_rating,is_professional,cleaning_fee,picture_count,min_nights,number_of_bathrooms,is_guest_favorite,can_instant_book,suburb,micro_zone,dist_beach_km,comp_300m,comp_1km,rev_annual_gross,occ_paid,bed_bucket
9784227,0.9759298865692323,45904.47645049266,447.3018013403754,105,2,6,apartamento,24,4.539999961853027,False,180.0,51,0,2.0,False,True,Meia Praia,Meia Praia (beach band),0.2476052791794633,209,1110,91916.09087213853,0.8783368979123091,2
10340400,0.9960650349005847,35105.41408571417,335.5768536379046,105,3,6,apartamento,55,4.929999828338623,False,250.0,18,0,2.0,True,True,Meia Praia,Meia Praia (beach band),0.2969640446506418,436,1995,70292.76185486102,0.8964585314105262,3
10982940,0.5207216675649115,106481.63754218249,1882.415311991909,105,4,8,apartamento,7,5.0,False,300.0,35,0,4.0,False,False,Meia Praia,Meia Praia (beach band),0.1099770450178676,256,1201,213211.79608914425,0.4686495008084203,4
11044577,0.7671725628000584,33838.785241984064,413.70447806975295,105,1,4,apartamento,26,4.380000114440918,False,306.0,40,0,1.0,False,True,Centro,Centro,0.2394284283726012,179,747,67756.54794057905,0.6904553065200526,1
11567423,0.7773576250295698,75287.52904010747,909.0352010184148,105,3,6,apartamento,24,4.880000114440918,False,400.0,41,0,2.0,False,True,Centro,Centro,0.0847708456680579,152,746,150750.77412662702,0.6996218625266128,3
12067632,0.9626588206700614,72625.46775378272,716.8374291410132,105,3,8,apartamento,21,5.0,False,350.0,35,0,3.0,True,False,Meia Praia,Meia Praia (inland),0.530621156040688,273,1927,145420.4384813677,0.8663929386030552,3
12359560,0.9357879473627331,77046.03357212472,780.9794926097584,105,3,6,apartamento,29,4.789999961853027,False,295.0,30,0,3.0,False,False,Meia Praia,Meia Praia (beach band),0.0341250878489539,176,1102,154271.88742237032,0.8422091526264598,3
12490354,0.6433343904492208,52976.688972926444,765.40153439906,105,3,6,apartamento,42,4.980000019073486,False,250.0,39,0,2.0,True,False,Centro,Centro,0.1834328018034471,167,679,106077.02198699767,0.5790009514042987,3
12931525,0.92255143324476,47530.04591784109,488.2891761395243,105,3,6,apartamento,20,4.849999904632568,True,300.0,23,0,1.0,False,False,Meia Praia,Meia Praia (beach band),0.2220311048196698,392,1878,95171.02377701363,0.830296289920284,3
13522176,0.9405685406896237,217893.9366452671,2198.1305553241223,105,5,15,apartamento,144,4.829999923706055,False,435.0,34,0,6.0,False,False,Meia Praia,Meia Praia (beach band),0.1750326821324569,448,1971,436296.4231336838,0.8465116866206613,4
14872547,0.6339229057971575,40586.57320608213,594.6704663178563,105,2,5,apartamento,32,4.690000057220459,False,230.0,44,0,2.0,False,False,Meia Praia,Meia Praia (beach band),0.0820415612594145,286,1692,81267.87275359311,0.5705306152174417,2
14884678,0.9370715941304373,68396.6815405604,692.4119063477003,105,3,6,apartamento,20,4.699999809265137,False,250.0,28,0,2.0,False,False,Meia Praia,Meia Praia (beach band),0.0447233274787981,341,1871,136952.9963513482,0.8433644347173935,3
15024197,0.9775894577815986,75307.3279954725,732.638608811399,105,3,8,apartamento,12,4.75,False,250.0,24,0,2.0,False,False,Centro,Centro,0.1338594290247403,182,726,150790.4182467918,0.8798305120034388,3
15500038,0.5428667370218159,30212.89126691891,513.2473730083053,105,3,9,apartamento,25,4.880000114440918,False,300.0,12,0,2.0,True,False,Meia Praia,Meia Praia (beach band),0.1733525600522941,221,1116,60496.29739694713,0.4885800633196343,3
15523493,0.847289819587209,58977.40482827033,656.4630950738972,105,3,8,apartamento,96,4.960000038146973,False,250.0,30,0,2.0,True,True,Meia Praia,Meia Praia (beach band),0.0627830293090253,353,1882,118092.45896627624,0.762560837628488,3
15549803,0.9307284457857177,74466.42861794044,758.6897988778898,105,4,8,apartamento,82,4.929999828338623,False,350.0,53,0,3.0,True,False,Morretes,Morretes,0.0690463372872632,96,678,149106.6568889443,0.8376556012071459,4
15732070,0.8497197356182462,70377.15586706348,781.2379249262872,105,3,6,apartamento,40,4.949999809265137,False,240.0,17,0,3.0,False,False,Meia Praia,Meia Praia (beach band),0.0213160850717031,130,550,140918.56729868535,0.7647477620564216,3
15754075,0.9211146266778962,70056.24576592249,720.7631787169742,105,3,9,apartamento,36,4.920000076293945,False,450.0,37,0,3.0,True,True,Meia Praia,Meia Praia (beach band),0.0464383077889296,260,1439,140275.9981137372,0.8290031640101067,3
15791567,0.9294995309509375,62035.15989344225,632.8216823164707,105,3,10,apartamento,22,4.090000152587891,False,300.0,26,0,3.0,False,False,Meia Praia,Meia Praia (beach band),0.0733751995096905,308,1819,124215.10569198719,0.8365495778558438,3
15909831,0.6780563018779495,58470.10995915242,803.6016115309509,105,3,6,apartamento,32,4.940000057220459,False,190.0,26,0,3.0,True,True,Meia Praia,Meia Praia (beach band),0.0132179399034404,117,511,117076.68523581882,0.6102506716901546,3
15934309,0.7560595763635635,69365.6539803093,859.8378494290422,105,3,8,apartamento,32,4.940000057220459,False,320.0,23,0,2.0,False,False,Meia Praia,Meia Praia (beach band),0.1632154158713818,431,1976,138893.20274757218,0.6804536187272071,3
15980018,0.987376733210788,52101.27218047329,502.15542760163066,105,2,5,apartamento,103,4.900000095367432,False,130.0,26,0,2.0,True,False,Centro,Centro,0.0470254171484959,141,550,104324.14523797516,0.8886390598897093,2
15980108,0.9092281561360545,159404.13805022975,1660.17399263129,105,4,10,apartamento,26,4.849999904632568,False,180.0,20,0,3.0,True,True,Meia Praia,Meia Praia (beach band),0.0311551807607893,164,1059,319180.3146741387,0.8183053405224491,4
16017693,0.9253598856249613,77297.70595121973,791.8329308154208,105,3,7,apartamento,41,4.900000095367432,True,350.0,23,0,3.0,True,True,Meia Praia,Meia Praia (beach band),0.3154271686418799,308,1451,154775.81956702407,0.8328238970624652,3
16105751,0.9643777353290129,32370.13638795101,318.96884845104853,105,2,4,apartamento,138,4.860000133514404,False,250.0,19,0,2.0,True,True,Centro,Centro,0.2038749765836531,179,729,64815.82250452813,0.8679399617961117,2
16177778,0.3197370396630561,27116.40606608557,767.2027631897458,105,3,8,apartamento,9,5.0,False,300.0,17,0,3.0,False,False,Meia Praia,Meia Praia (beach band),0.3076014312247919,312,1493,54296.100006372704,0.2877633356967505,3
16253828,0.6595722005230807,119211.71427503107,1682.0154195526557,105,3,7,apartamento,24,4.960000038146973,False,420.0,22,0,2.0,False,False,Meia Praia,Meia Praia (beach band),0.0251146395178744,203,1415,238701.66070066512,0.5936149804707727,3
16321793,0.6531789108429817,38820.96764822705,552.8390579445282,105,3,7,apartamento,31,4.96999979019165,False,250.0,25,0,2.0,True,False,Meia Praia,Meia Praia (beach band),0.2122253636567486,174,826,77732.54083285581,0.5878610197586835,3
16350860,0.6893206696883207,48431.23537762725,655.2978758376742,105,2,5,apartamento,10,4.900000095367432,False,230.0,34,0,2.0,True,False,Meia Praia,Meia Praia (beach band),0.1293634795159983,205,996,96975.50601238023,0.6203886027194887,2
16451544,0.9692948084128133,60522.962732499866,593.5383864099588,105,3,6,apartamento,11,5.0,False,200.0,14,0,2.0,True,False,Centro,Centro,0.1909433302256742,174,740,121187.18200328822,0.8723653275715321,3
16527828,0.30164818515945996,36680.074771861495,1098.192157393446,105,4,8,apartamento,18,4.829999923706055,False,350.0,24,0,3.0,False,False,Meia Praia,Meia Praia (beach band),0.1038061303092256,276,1250,73445.75837965088,0.27148336664351397,4
16570256,0.8486760794818183,47402.03127531155,526.8075175377053,105,3,10,apartamento,13,4.769999980926514,False,250.0,14,0,3.0,False,False,Meia Praia,Meia Praia (inland),0.4047937572631149,347,1960,94914.69571435945,0.7638084715336365,3
16586622,0.7929502547481149,55837.42675820406,661.650873138298,105,3,6,apartamento,30,4.829999923706055,False,0.0,111,0,2.0,False,True,Meia Praia,Meia Praia (beach band),0.0892978645083002,286,1358,111805.1743277944,0.7136552292733034,3
16618715,0.4824144140509566,42774.86823194096,813.6507902005578,105,3,8,apartamento,59,4.920000076293945,False,189.0,15,0,2.0,True,False,Meia Praia,Meia Praia (beach band),0.0901546695382843,378,1924,85649.57013922423,0.4341729726458609,3
16644316,0.574233415392728,50308.8252117329,809.9756852529758,105,3,8,apartamento,12,5.0,False,300.0,36,0,2.0,False,False,Meia Praia,Meia Praia (beach band),0.0221510533998484,179,1652,100735.06784941338,0.5168100738534552,3
16662563,0.6955236044456868,129401.25554276085,1736.038431639691,105,4,11,apartamento,56,4.880000114440918,True,350.0,61,0,3.0,False,False,Meia Praia,Meia Praia (beach band),0.0856360112295733,313,1798,259104.52494245968,0.6259712440011181,4
16992951,0.7648315909623111,53644.34089647386,657.741272453917,105,3,8,apartamento,11,5.0,False,250.0,17,0,2.0,True,True,Centro,Centro,0.1713671500747762,170,680,107413.88408893075,0.6883484318660801,3
17013106,0.7063100263334593,135609.43053320594,1792.9579790884375,105,4,8,apartamento,29,4.659999847412109,False,350.0,62,0,4.0,False,False,Morretes,Morretes,0.0467726121947052,19,450,271535.3643876564,0.6356790237001134,4
17294276,0.9472408846083755,99742.31391429261,999.54286699819,105,4,9,apartamento,21,4.949999809265137,False,300.0,27,0,4.0,False,False,Meia Praia,Meia Praia (beach band),0.1082102367980525,396,1937,199717.41970373993,0.852516796147538,4
17570590,0.7696643082045518,135186.70620218146,1647.6963368112874,105,4,10,apartamento,45,4.820000171661377,True,420.0,32,0,3.0,True,False,Meia Praia,Meia Praia (beach band),0.0332277635904195,256,1376,270688.9291153532,0.6926978773840966,4
18395333,0.7891659313137892,55311.811577271896,658.3928500552317,105,3,8,apartamento,63,4.980000019073486,False,450.0,26,0,3.0,True,False,Meia Praia,Meia Praia (beach band),0.006681384972484,230,1769,110752.71721532868,0.7102493381824103,3
18505349,0.9700809341161236,77193.80536924445,756.4501728976978,105,3,6,apartamento,23,4.829999923706055,False,380.0,27,0,2.0,True,False,Centro,Centro,0.0624094729092445,72,430,154567.77590607942,0.8730728407045113,3
18506998,0.9862709351491391,45447.74088588259,438.4893709455921,105,2,4,apartamento,29,5.0,False,180.0,22,0,2.0,True,False,Centro,Centro,0.1832137669359002,180,747,91001.55375272463,0.8876438416342252,2
18735821,0.8735482489270449,25626.785329419352,277.1546602009988,105,2,8,apartamento,10,4.199999809265137,False,250.0,15,0,2.0,False,False,Meia Praia,Meia Praia (beach band),0.3180419119015928,424,1832,51313.38185808709,0.7861934240343403,2
20555680,0.9787132690459168,26418.09352577038,256.7351984720225,105,1,4,apartamento,12,4.829999923706055,False,150.0,18,0,1.0,False,False,Centro,Centro,0.0190665493619235,117,511,52897.845111079674,0.8808419421413252,1
20618105,0.8947398175530679,56010.49987804212,592.231064755859,105,2,5,apartamento,15,4.730000019073486,False,300.0,31,0,2.0,False,False,Meia Praia,Meia Praia (inland),0.3715939238009058,393,1714,112151.72450853151,0.8052658357977611,2
20863370,0.9801208993983077,62283.12232654093,604.4607788254319,105,3,7,apartamento,25,4.880000114440918,False,410.0,41,0,3.0,False,False,Meia Praia,Meia Praia (beach band),0.0971804939614985,283,1281,124711.60928588297,0.8821088094584769,3
20943549,0.810804964525292,37992.30585042485,440.82126647553446,105,2,6,apartamento,27,4.960000038146973,False,220.0,24,0,2.0,True,False,Meia Praia,Meia Praia (beach band),0.2314169182120213,449,1991,76073.28319615881,0.7297244680727628,2
21025393,0.9562993731459645,73188.66517997406,726.9098936442164,105,3,6,apartamento,23,4.909999847412109,False,250.0,22,0,3.0,True,False,Meia Praia,Meia Praia (beach band),0.0835838519653268,173,952,146548.14779879316,0.860669435831368,3
21077682,0.765921724389169,65677.2349516671,804.1939275270954,105,4,10,apartamento,31,4.96999979019165,False,300.0,30,0,3.0,True,False,Meia Praia,Meia Praia (beach band),0.171665433242862,334,1317,131507.756167502,0.689329551950252,4
21091876,0.3295729381379351,28384.5685292709,779.8155637754271,105,3,6,apartamento,11,4.909999847412109,False,350.0,24,0,2.0,False,False,Meia Praia,Meia Praia (beach band),0.0527294522571041,187,1391,56835.384738930115,0.2966156443241416,3
21103486,0.7813712499336893,30453.929725192706,365.9199375222497,105,3,6,apartamento,8,5.0,False,250.0,29,0,2.0,False,False,Meia Praia,Meia Praia (inland),0.4051690706210821,348,1498,60978.93688110001,0.7032341249403204,3
21103807,0.5093112774466906,54763.91390432951,988.8964827084933,105,5,10,apartamento,38,4.96999979019165,False,350.0,26,0,4.0,True,True,Meia Praia,Meia Praia (beach band),0.189158093776582,388,1828,109655.6431129997,0.4583801497020215,4
21280090,0.8174773149556828,78723.35850317277,906.3777364265945,105,3,8,apartamento,36,5.0,False,150.0,37,0,2.0,True,False,Meia Praia,Meia Praia (beach band),0.1429943375303865,292,1250,157630.45204842786,0.7357295834601145,3
21295667,0.8849680753693157,66762.96279151828,713.262048878373,105,3,9,apartamento,31,4.869999885559082,False,320.0,44,0,4.0,True,False,Meia Praia,Meia Praia (beach band),0.2603074705407709,389,1625,133681.7458632085,0.7964712678323841,3
21324331,0.9439711543866977,73774.77679693347,741.722919139966,105,2,6,apartamento,195,4.900000095367432,False,100.0,42,0,1.0,True,True,Meia Praia,Meia Praia (beach band),0.1267793883478222,352,1877,147721.73897794008,0.8495740389480279,2
21397811,0.7011267205731664,54802.17806945089,729.6463432443801,105,3,8,apartamento,19,4.889999866485596,False,350.0,50,0,2.0,True,False,Meia Praia,Meia Praia (beach band),0.0150457862061125,246,1785,109732.2607492391,0.6310140485158497,3
21436592,0.5820273474747147,32906.77580102208,523.0286088205557,105,3,9,apartamento,18,4.71999979019165,False,350.0,15,0,3.0,False,False,Meia Praia,Meia Praia (inland),0.3982984912142298,373,2002,65890.35381109054,0.5238246127272432,3
21454457,0.9922233679562655,23185.52818817684,222.43867739246798,105,2,5,apartamento,57,4.809999942779541,False,320.0,39,0,1.0,True,False,Meia Praia,Meia Praia (inland),0.5477852038612598,278,1862,46425.16984506682,0.893001031160639,2
21545686,0.7275684949439916,26416.327332436325,339.5809394878171,105,2,5,apartamento,92,4.760000228881836,False,120.0,11,0,1.0,False,True,Centro,Centro,0.1972950771781124,219,772,52894.308602234705,0.6548116454495925,2
21552865,0.9524049663409146,66831.23879996172,666.3185916515669,105,2,6,apartamento,49,4.960000038146973,False,200.0,36,0,2.0,True,True,Meia Praia,Meia Praia (inland),0.3823794767497177,410,1921,133818.45723172268,0.8571644697068233,2
21607605,0.8808401397326387,77624.3429000184,832.9603128411691,105,4,11,apartamento,13,4.849999904632568,False,300.0,31,0,3.0,False,False,Meia Praia,Meia Praia (beach band),0.1320265127002331,373,1882,155429.85581336607,0.7927561257593749,4
21632405,0.9087751634211989,50573.07881311035,526.9593540120665,105,3,8,apartamento,11,4.820000171661377,False,250.0,40,0,2.0,True,False,Meia Praia,Meia Praia (beach band),0.2702718135152309,448,1981,101264.19180236149,0.8178976470790791,3
21662762,0.9472408846083755,32401.010315043623,324.69869078599584,105,3,9,apartamento,157,4.849999904632568,False,280.0,42,0,2.0,True,True,Meia Praia,Meia Praia (inland),0.376098533326521,351,1628,64877.64241638976,0.852516796147538,3
21695053,0.500214818108402,42750.555410972185,785.4138814449254,105,3,8,apartamento,78,4.880000114440918,False,450.0,31,0,3.0,False,True,Meia Praia,Meia Praia (beach band),0.3249480906612104,456,1943,85600.88775279217,0.45019333629756175,3
21734892,0.7813712499336893,69722.64316644831,837.7541243962214,105,3,8,apartamento,37,4.920000076293945,False,250.0,17,0,2.0,True,False,Centro,Centro,0.1051842121709629,171,745,139608.01430868238,0.7032341249403204,3
21743476,0.7486469293670882,57155.567765241845,715.1238056699473,105,3,7,apartamento,18,4.78000020980835,False,250.0,53,0,3.0,False,False,Meia Praia,Meia Praia (inland),0.3939487172054692,328,1413,114444.53279462812,0.6737822364303794,3
21780661,0.6433343904492207,32503.57874515403,469.60822820987426,105,2,4,apartamento,20,4.900000095367432,False,200.0,34,0,1.0,True,True,Casa Branca,Casa Branca,0.7410182999908129,30,644,65083.01866445151,0.5790009514042986,2
22047595,0.833084624759183,65120.707448460635,736.4978631997818,105,3,10,apartamento,37,4.889999866485596,False,290.0,20,0,2.0,True,True,Morretes,Morretes,0.0209355468741705,69,616,130393.40226319946,0.7497761622832647,3
22190101,0.9211146266778962,30179.764796103256,310.4999842562372,105,2,7,apartamento,38,4.889999866485596,False,200.0,12,0,1.0,True,False,Meia Praia,Meia Praia (inland),0.4272598398088904,343,1951,60429.96714035333,0.8290031640101067,2
22191680,0.5428667370218159,26840.9386586836,455.96567153870063,105,2,6,apartamento,94,4.769999980926514,False,250.0,15,0,1.0,True,True,Meia Praia,Meia Praia (beach band),0.179720683857138,345,1326,53744.5222691039,0.4885800633196343,2
22223346,0.954346564112975,64240.8477932708,639.2671278563207,105,2,6,apartamento,21,5.0,False,200.0,25,0,2.0,False,True,Meia Praia,Meia Praia (beach band),0.0512840555961204,291,1859,128631.62941935976,0.8589119077016776,2
22231120,0.4278604509662592,16782.51461552383,358.26839068321357,105,1,4,apartamento,62,4.96999979019165,False,100.0,16,0,1.0,True,True,Ilhota,Ilhota,0.0732887341439962,16,36,33604.198495263,0.38507440586963326,1
22243318,0.9211146266778962,54123.088956833,556.8372842708643,105,2,6,apartamento,32,4.840000152587891,False,250.0,22,0,1.0,False,False,Meia Praia,Meia Praia (beach band),0.1983384063264474,374,1731,108372.49757553241,0.8290031640101067,2
22245880,0.7732642649216364,115459.85056828432,1401.0615389696554,105,3,8,apartamento,63,4.900000095367432,True,250.0,30,0,3.0,True,False,Meia Praia,Meia Praia (beach band),0.057951010504435,186,1000,231189.17668875976,0.6959378384294728,3
22306996,0.9767520572079659,26890.862911045646,261.82243220913614,105,2,5,apartamento,15,5.0,False,220.0,29,0,2.0,True,False,Meia Praia,Meia Praia (inland),0.5361167064045993,308,1717,53844.48729368668,0.8790768514871693,2
22307401,0.9573035900778217,47032.73240765722,466.66860564058004,105,2,6,apartamento,57,4.880000114440918,False,230.0,29,0,2.0,True,False,Meia Praia,Meia Praia (beach band),0.2174719853440211,395,1773,94175.23606024701,0.8615732310700396,2
22383070,0.9205567197618079,32632.67211091595,335.9277942743714,105,2,6,apartamento,36,4.940000057220459,False,200.0,11,0,2.0,True,False,Meia Praia,Meia Praia (inland),0.5267807742936403,304,1808,65341.50669123818,0.828501047785627,2
22421016,0.9930434785544563,78013.97909647504,747.8747958402217,105,3,8,apartamento,7,5.0,False,300.0,42,0,3.0,False,False,Centro,Centro,0.2975769367288157,173,746,156210.0375910454,0.8937391306990107,3
22514231,0.9231021936612489,40026.23171417712,410.96961505403397,105,2,6,apartamento,34,4.820000171661377,False,250.0,27,0,2.0,False,True,Centro,Centro,0.0500303330942954,73,445,80145.88197029951,0.8307919742951241,2
22648075,0.6893206696883207,32029.520718638454,433.37479887449535,105,2,6,apartamento,16,5.0,False,150.0,35,0,2.0,False,False,Centro,Centro,0.4379585578482614,184,714,64133.7961917616,0.6203886027194887,2
22739656,0.7224844642335438,101993.27334094519,1319.8620070260351,105,3,8,apartamento,41,4.829999923706055,False,350.0,25,0,2.0,True,True,Meia Praia,Meia Praia (beach band),0.0207834858283465,322,1854,204224.59214546974,0.6502360178101895,3
22810332,0.7813712499336893,43145.354291984324,518.4140598393113,105,1,2,apartamento,31,4.769999980926514,False,0.0,14,0,1.0,True,False,Meia Praia,Meia Praia (beach band),0.0786374377110921,272,1764,86391.40694894218,0.7032341249403204,1
22901902,0.26130737364138557,21567.709263252298,742.6275323853771,105,3,6,apartamento,29,4.929999828338623,False,300.0,28,0,2.0,True,True,Meia Praia,Meia Praia (beach band),0.089416103071192,161,827,43185.75611428603,0.23517663627724703,3
23023313,0.7422349574044765,43623.14336738154,550.2713927049404,105,2,6,apartamento,11,4.820000171661377,False,300.0,38,0,1.0,True,False,Morretes,Morretes,0.0968975302500918,134,726,87348.10022741336,0.6680114616640289,2
23068512,0.9759298865692322,57562.997801529986,560.9046131905094,105,2,6,apartamento,19,4.369999885559082,False,250.0,21,0,2.0,False,False,Meia Praia,Meia Praia (beach band),0.2792637603480168,420,1847,115260.34378159992,0.878336897912309,2
23078040,0.8238644495519035,76123.0371032795,870.0225479914856,105,3,7,apartamento,213,4.590000152587891,False,190.0,23,0,2.0,False,True,Meia Praia,Meia Praia (beach band),0.0320893409699873,179,1543,152423.74027278813,0.7414780045967132,3
23108026,0.4455746363149167,33041.945946863685,678.3604440650727,105,2,5,apartamento,28,4.639999866485596,False,180.0,20,0,2.0,False,False,Meia Praia,Meia Praia (beach band),0.2079000225261869,432,2000,66161.00958083397,0.40101717268342507,2
23299596,0.9231021936612489,52697.20426997803,541.068914703401,105,2,6,apartamento,214,4.920000076293945,False,100.0,43,0,1.0,True,True,Meia Praia,Meia Praia (beach band),0.1628501127760084,391,1947,105517.40028253745,0.8307919742951241,2
23343001,0.5176037598740509,31360.59718787772,557.5995552772338,105,3,8,apartamento,80,4.889999866485596,False,250.0,13,0,3.0,True,False,Meia Praia,Meia Praia (beach band),0.2348663593393993,380,1577,62794.3879075559,0.46584338388664587,3
23779860,0.9508551351985984,44052.65774978539,439.88521074802503,105,3,12,apartamento,14,4.570000171661377,False,200.0,11,0,2.0,False,False,Meia Praia,Meia Praia (beach band),0.0307474113982786,229,1695,88208.13145000013,0.8557696216787386,3
23787711,0.1846492335455825,8199.784892218877,396.6606335544203,105,3,6,apartamento,19,5.0,,0.0,29,0,2.0,False,,Meia Praia,Meia Praia (inland),0.4011156815862537,373,1911,16418.707532761553,0.16618431019102425,3
24171739,0.9767520572079659,53740.53000176039,523.2437620099349,105,3,8,apartamento,23,4.829999923706055,False,250.0,30,0,2.0,True,False,Meia Praia,Meia Praia (beach band),0.0207834858283465,322,1854,107606.48679842817,0.8790768514871693,3
25104649,0.7512558965011034,56178.85141944145,700.5920263859754,105,4,12,apartamento,43,4.980000019073486,False,250.0,18,0,3.0,True,False,Meia Praia,Meia Praia (beach band),0.3496113111243008,424,1854,112488.82051254352,0.6761303068509931,4
25165914,0.319737039663056,21946.90090624178,620.9422803923543,105,3,6,apartamento,15,4.869999885559082,False,210.0,16,0,2.0,False,False,Meia Praia,Meia Praia (beach band),0.050327903120256,263,1424,43945.0244081433,0.2877633356967504,3
25918412,0.6339229057971575,29631.14201827621,434.15256942407655,105,2,5,apartamento,37,4.889999866485596,False,147.0,45,0,2.0,True,False,Meia Praia,Meia Praia (beach band),0.1431441340051071,330,1395,59331.44113590884,0.5705306152174417,2
26026295,0.9643777353290129,48699.515777092245,479.8752863248607,105,2,5,apartamento,150,4.829999923706055,False,250.0,22,0,2.0,True,True,Meia Praia,Meia Praia (beach band),0.0407703635598839,239,1753,97512.69295978028,0.8679399617961117,2
26197944,0.8174773149556828,43919.44890016822,505.66453764334256,105,2,6,apartamento,38,4.789999961853027,False,210.0,36,0,2.0,False,False,Meia Praia,Meia Praia (beach band),0.2028565816733291,360,1509,87941.40285023951,0.7357295834601145,2
26334990,0.8270189212730099,115351.92702978024,1313.6285276455858,105,3,11,apartamento,6,5.0,False,350.0,19,0,2.0,False,True,Meia Praia,Meia Praia (beach band),0.2182700576536895,404,1767,230973.0777254466,0.744317029145709,3
26570136,0.6194281960088349,47027.9322109931,704.389777595776,105,3,8,apartamento,22,4.860000133514404,False,370.0,15,0,2.0,False,False,Meia Praia,Meia Praia (beach band),0.2374581720916276,366,1645,94165.62446358152,0.5574853764079515,3
26708551,0.7515419935617582,44705.77241652549,557.3132868391842,105,3,10,apartamento,361,4.829999923706055,True,60.0,19,0,2.0,False,True,Centro,Centro,0.4351901206234947,125,612,89515.88510933558,0.6763877942055824,3
26839303,0.8909301624446296,65184.192565917176,692.0049073566344,105,2,8,apartamento,29,4.860000133514404,False,200.0,37,0,2.0,True,False,Meia Praia,Meia Praia (beach band),0.2526795428723453,412,1801,130520.52066812142,0.8018371462001667,2
26895628,0.9393946083718756,101171.97648613795,1021.8298328904519,105,4,12,apartamento,99,4.800000190734863,False,300.0,87,0,3.0,False,False,Meia Praia,Meia Praia (beach band),0.0635065466862571,307,1878,202580.08158404598,0.8454551475346881,4
27022969,0.8417660224962294,139725.74006694776,1564.878612275195,105,4,8,apartamento,2,5.0,False,365.0,23,0,4.0,False,False,Meia Praia,Meia Praia (beach band),0.0739912493945566,238,1161,279777.5906456841,0.7575894202466065,4
27201205,0.961783616902703,75036.11450348783,741.2645769393831,105,3,10,apartamento,56,4.880000114440918,False,390.0,37,0,2.0,False,False,Meia Praia,Meia Praia (beach band),0.0546815353796912,255,1633,150247.35826871105,0.8656052552124327,3
27338096,0.19774129465685064,29887.313589942787,1351.7490900843068,105,3,8,apartamento,12,5.0,False,350.0,51,0,3.0,False,False,Centro,Centro,0.1192130104070161,178,752,59844.382166519616,0.1779671651911656,3
27704027,0.43630736806303455,37436.288735746864,784.2783957816445,105,3,14,apartamento,24,4.960000038146973,False,400.0,47,0,3.0,False,False,Centro,Centro,0.2900485622448484,175,746,74959.95126012586,0.3926766312567311,3
27718978,0.9862709351491391,67436.5198134764,650.6417387394628,105,4,9,apartamento,11,4.820000171661377,False,450.0,25,0,4.0,False,False,Meia Praia,Meia Praia (beach band),0.1305312750699217,390,1952,135030.43194406686,0.8876438416342252,4
